country,vaccine,doses
Pakistan,Sputnik V,50000
Pakistan,Moderna,5500060
Pakistan,Pfizer/BioNTech,100620
Pakistan,Sinopharm,5000000
Pakistan,Sinovac,10050000
Pakistan,Unknown,16434646
Panama,AstraZeneca,518400
Panama,Sputnik V,40950
Panama,Pfizer/BioNTech,2118688
Panama,Unknown,625953
Papua New Guinea,AstraZeneca,164880
Papua New Guinea,Janssen,302400
Papua New Guinea,Covishield,132000
Paraguay,AstraZeneca,558240
Paraguay,Sputnik V,204000
Paraguay,Sinovac,20000
Paraguay,Unknown,1899997
Peru,AstraZeneca,888960
Peru,Pfizer/BioNTech,7232290
Peru,Sinopharm,2694000
Peru,Unknown,5523507
Philippines,AstraZeneca,6858900
Philippines,Sputnik V,350000
Philippines,Janssen,3240850
Philippines,Moderna,3500460
Philippines,Pfizer/BioNTech,3410550
Philippines,Sinovac,16500000
Poland,AstraZeneca,8541700
Poland,Janssen,2161300
Poland,Moderna,4655200
Poland,Pfizer/BioNTech,33414030
Portugal,AstraZeneca,2929400
Portugal,Janssen,943400
Portugal,Moderna,1365600
Portugal,Pfizer/BioNTech,8776170
Qatar,AstraZeneca,74400
Qatar,Unknown,3951518
Republic of Korea,AstraZeneca,1267200
Republic of Korea,Janssen,1013000
Republic of Korea,Moderna,451000
Republic of Korea,Pfizer/BioNTech,3390180
Republic of Korea,Unknown,21587266
Republic of Korea,Vaxzevria,1500000
Republic of Moldova,AstraZeneca,381600
Republic of Moldova,Sputnik V,101000
Republic of Moldova,Janssen,302400
Republic of Moldova,Pfizer/BioNTech,125190
Republic of Moldova,Unknown,569059
Romania,AstraZeneca,2968400
Romania,Janssen,1086100
Romania,Moderna,1348200
Romania,Pfizer/BioNTech,10271550
Russia,Unknown,66245526
Rwanda,AstraZeneca,117600
Rwanda,Pfizer/BioNTech,203580
Rwanda,Covishield,420000
Saint Helena,Unknown,7892
Saint Kitts and Nevis,AstraZeneca,21600
Saint Kitts and Nevis,Covishield,20000
Saint Kitts and Nevis,Unknown,23873
Saint Lucia,AstraZeneca,50400
Saint Lucia,Covishield,25000
Saint Vincent and the Grenadines,AstraZeneca,45600
Saint Vincent and the Grenadines,Covishield,40000
Samoa,AstraZeneca,52800
Samoa,Unknown,92415
San Marino,Sputnik V,7500
San Marino,Unknown,38440
Sao Tome and Principe,AstraZeneca,24000
Sao Tome and Principe,Covishield,24000
Sao Tome and Principe,Unknown,27956
Saudi Arabia,AstraZeneca,892800
Saudi Arabia,Pfizer/BioNTech,279630
Saudi Arabia,Covishield,3000000
Saudi Arabia,Unknown,26951707
Senegal,AstraZeneca,184800
Senegal,Janssen,302400
Senegal,Covishield,349000
Senegal,Sinopharm,500000
Serbia,AstraZeneca,177600
Serbia,Pfizer/BioNTech,132210
Serbia,Sinopharm,1646000
Serbia,Unknown,3831073
Seychelles,Covishield,50000
Seychelles,Sinopharm,50000
Seychelles,Unknown,41435
Sierra Leone,Covishield,96000
Sierra Leone,Sinopharm,200000
Singapore,Sinovac,200000
Singapore,Unknown,7842596
Slovakia,AstraZeneca,982800
Slovakia,Sputnik V,400000
Slovakia,Janssen,137075
Slovakia,Moderna,501600
Slovakia,Pfizer/BioNTech,3091140
Slovenia,AstraZeneca,900000
Slovenia,Janssen,120000
Slovenia,Moderna,258000
Slovenia,Pfizer/BioNTech,1517490
Solomon Islands,AstraZeneca,28800
Solomon Islands,Covishield,24000
Solomon Islands,Sinopharm,50000
Somalia,AstraZeneca,108000
Somalia,Janssen,302400
Somalia,Covishield,300000
Somalia,Sinopharm,200000
South Africa,Janssen,80000
South Africa,Pfizer/BioNTech,7378020
South Africa,Covishield,1000000
South Africa,Unknown,7196864
South Sudan,Covishield,119000
